genero,longitud,latitud,altitudmapa
427,-99.325,24.441667,271
427,-99.325,24.441667,271
1076,-106,28.5,1572
1076,-106,28.5,1572
1076,-109.208333,26.551389,32
1076,-109.208333,26.551389,32
1076,-99.233333,25.146667,259
1076,-97.75,24.547222,10
1076,-97.758333,24.547222,9
1076,-99.233333,25.146667,259
1076,-97.75,24.547222,10
1076,-97.758333,24.547222,9
430,-99.633333,20.583333,1659
430,-99.633333,20.583333,1659
430,-99.681667,21.0725,1873
430,-99.633333,20.583333,1659
430,-99.633333,20.583333,1659
430,-99.681667,21.0725,1873
720,-110.666667,27.933333,116
720,-110.433333,27.783333,9
720,-111.35,28.383333,7
720,-110.666667,27.933333,116
720,-110.66667,27.93333,116
720,-111.35,28.38333,7
720,-110.43333,27.78333,9
720,-110.667222,27.933611,123
720,-110.675,27.941667,38
720,-110.666667,27.933333,116
720,-110.433333,27.783333,9
720,-111.35,28.383333,7
720,-110.666667,27.933333,116
720,-110.66667,27.93333,116
720,-111.35,28.38333,7
720,-110.43333,27.78333,9
720,-110.667222,27.933611,123
720,-110.675,27.941667,38
106,-99.831111,23.964722,1746
106,-99.6425,21.906667,1313
106,-99.4431,23.5843,910
106,-99.4431,23.5843,910
106,-99.4431,23.5843,910
106,-99.4431,23.5843,910
106,-99.831111,23.964722,1746
106,-99.6425,21.906667,1313
106,-99.4431,23.5843,910
106,-99.4431,23.5843,910
106,-99.4431,23.5843,910
106,-99.4431,23.5843,910
106,-99.78786,21.2737,1434
106,-100.008333,25.008333,1267
106,-100.1627,25.3654,715
106,-99.78786,21.2737,1434
106,-100.008333,25.008333,1267
106,-100.1627,25.3654,715
696,-113.2314,28.020906,252
696,-113.118333,28.034167,396
696,-111.5,25.984722,603
696,-111.516389,25.984722,724
696,-99.233333,25.146667,259
696,-99.633333,20.583333,1659
696,-100.415556,20.504444,1890
696,-110.17148,28.91162,510
696,-113.2314,28.020906,252
696,-113.118333,28.034167,396
696,-111.5,25.984722,603
696,-111.516389,25.984722,724
696,-99.233333,25.146667,259
696,-99.633333,20.583333,1659
696,-100.415556,20.504444,1890
696,-110.17148,28.91162,510
696,-102.353333,22.083333,1992
696,-116.325,31.808333,520
696,-116.183333,31.091667,131
696,-116.316667,31.8,561
696,-116.225,32.441667,1101
696,-115.916944,31.651667,1100
696,-115.733611,30.983333,714
696,-116.184722,31.091667,77
696,-100.439708,20.513719,1849
696,-98.55,20.43,1835
696,-102.353333,22.083333,1992
696,-116.325,31.808333,520
696,-116.183333,31.091667,131
696,-116.316667,31.8,561
696,-116.225,32.441667,1101
696,-115.916944,31.651667,1100
696,-115.733611,30.983333,714
696,-116.184722,31.091667,77
696,-100.439708,20.513719,1849
696,-98.55,20.43,1835
696,-111.791667,26.141667,517
696,-111.791667,26.141667,517
696,-115.975,31.891667,1489
696,-115.733611,30.983333,714
696,-113.075,27.641667,645
696,-111.55,25.850278,531
696,-111.533889,25.850278,698
696,-111.041667,24.891667,306
696,-100.106111,24.171111,1585
696,-109.652222,29.678611,555
696,-111.041667,24.891667,306
696,-100.106111,24.171111,1585
696,-115.975,31.891667,1489
696,-115.733611,30.983333,714
696,-113.075,27.641667,645
696,-111.55,25.850278,531
696,-111.533889,25.850278,698
696,-109.652222,29.678611,555
696,-110.6389,29.2781,309
696,-110.6389,29.2781,309
696,-115.708333,30.875,869
696,-115.458333,30.808333,1918
696,-115.92,30.78,213
696,-116.366667,31.633056,306
696,-115.708333,30.875,869
696,-115.458333,30.808333,1918
696,-115.92,30.78,213
