División,clase,orden,familia,Hierba,Color,longitud,latitud,tipovegetacionmapa,altitudmapa
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,Pardo,-97.53,18.07,Selva Baja Caducifolia,2225
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,Pardo,-99.218531,23.702858,Matorral Submontano,504
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-113.075,27.608333,Matorral Sarcocaule,858
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-113.075,27.608333,Matorral Sarcocaule,858
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-113.075,27.641667,Matorral Sarcocaule,645
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-113.075,27.641667,Matorral Sarcocaule,645
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-112.6,27.466667,Matorral Sarcocaule,1464
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-112.6,27.466667,Matorral Sarcocaule,1464
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,Pardo,-116.258333,31.408333,Chaparral,342
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,Pardo,-115.125,31.4,Matorral Desertico Microfilo,199
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Blanca,-99.057222,19.588611,Bosque de Encino,2325
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Blanca,-100,24,Matorral Desertico Microfilo,1750
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Amarillenta,-100.008333,22.925,Matorral Desertico Rosetofilo,1213
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Amarillenta,-100.008333,22.925,Matorral Desertico Rosetofilo,1213
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Purpura,-99.143429,19.021129,Bosque Mesofilo de Montana,2331
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Purpura,-97.341667,18.041667,Bosque de Encino,2231
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Purpura,-97.325,18.041667,Bosque de Encino,2464
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Purpura,-99.143429,19.021129,Bosque Mesofilo de Montana,2331
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Purpura,-97.341667,18.041667,Bosque de Encino,2231
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Purpura,-97.325,18.041667,Bosque de Encino,2464
Magnoliophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Hierba,Amarillenta,-99.505002,21.023456,Matorral Submontano,849
Magnoliophyta,Liliopsida,Liliales,Iridaceae,Hierba,Blanca,-100.028333,21.34,Matorral Submontano,1094
Magnoliophyta,Liliopsida,Liliales,Iridaceae,Hierba,Blanca,-100.055556,21.298611,Matorral Submontano,1354
Magnoliophyta,Liliopsida,Liliales,Iridaceae,Hierba,Lila,-105.241756,27.723778,Matorral Desertico Rosetofilo,1931
Magnoliophyta,Liliopsida,Liliales,Iridaceae,Hierba,Lila,-105.241756,27.723778,Matorral Desertico Rosetofilo,1931
Magnoliophyta,Liliopsida,Liliales,Iridaceae,Hierba,Morada,-101.855,28.310833,Matorral Submontano,1250
Magnoliophyta,Liliopsida,Liliales,Iridaceae,Hierba,Morada,-104.766667,23.866667,Bosque de Encino,2297
Magnoliophyta,Liliopsida,Liliales,Iridaceae,Hierba,Azul,-97.47,18.8,Bosque de Pino-Encino,2375
Magnoliophyta,Liliopsida,Liliales,Iridaceae,Hierba,Azul,-97.475,18.208333,Selva Baja Caducifolia,1976
Magnoliophyta,Liliopsida,Liliales,Alstroemeriaceae,Hierba,Amarillenta,-97.383333,18.666667,Matorral Desertico Rosetofilo,2154
Magnoliophyta,Liliopsida,Liliales,Alstroemeriaceae,Hierba,Amarillenta,-99.483333,21.066667,Matorral Submontano,1253
Magnoliophyta,Liliopsida,Liliales,Alstroemeriaceae,Hierba,Rosadas con verde,-98.725,20.575,Matorral Submontano,1693
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Amarilla,-99.4431,23.5843,Bosque de Encino,910
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Verde,-99.28,23.593,Matorral Submontano,1102
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Verde,-99.4431,23.5843,Bosque de Encino,910
