ID,pais,estado,municipio,longitud,latitud,altitudmapa,zonamapa
93649,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.84,27.31,238,CONTINENTAL
16807,MEXICO,CHIHUAHUA,ALDAMA,-105.55,29.11,1291,CONTINENTAL
109323,MEXICO,BAJA CALIFORNIA,ENSENADA,-115.95,32.03,1666,CONTINENTAL
140287,MEXICO,BAJA CALIFORNIA,ENSENADA,-113.57,28.09,246,CONTINENTAL
20863,MEXICO,BAJA CALIFORNIA,ENSENADA,-116.13,31.91,1029,CONTINENTAL
32208,MEXICO,COAHUILA DE ZARAGOZA,SALTILLO,-101.11,25.11,2082,CONTINENTAL
103870,MEXICO,CHIHUAHUA,CHIHUAHUA,-106,28.5,1572,CONTINENTAL
1180,MEXICO,PUEBLA,TEPANCO DE LOPEZ,-97.63,18.55,2127,CONTINENTAL
127353,MEXICO,SONORA,PUERTO PEÑASCO,-112.65,31.32,384,CONTINENTAL
123428,MEXICO,NUEVO LEON,GARCIA,-100.7,25.67,1088,CONTINENTAL
140219,MEXICO,QUERETARO,EZEQUIEL MONTES,-99.76,20.57,1859,CONTINENTAL
95932,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.99,27.19,81,CONTINENTAL
41199,MEXICO,BAJA CALIFORNIA,ENSENADA,-115.23,30.58,1693,CONTINENTAL
115932,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.12,25.53,10,CONTINENTAL
13622,MEXICO,CHIHUAHUA,OJINAGA,-104.36,29.39,918,CONTINENTAL
109302,MEXICO,TAMAULIPAS,MIQUIHUANA,-99.91,23.58,1681,CONTINENTAL
103312,MEXICO,PUEBLA,ZAPOTITLAN,-97.46,18.26,2116,CONTINENTAL
33189,MEXICO,TAMAULIPAS,TULA,-99.99,23.14,1924,CONTINENTAL
134153,MEXICO,NUEVO LEON,ARAMBERRI,-100,24,1750,CONTINENTAL
95830,MEXICO,COAHUILA DE ZARAGOZA,FRANCISCO I. MADERO,-103,26.36,1258,CONTINENTAL
79192,MEXICO,SONORA,GUAYMAS,-111.08,28.31,78,CONTINENTAL
797,MEXICO,BAJA CALIFORNIA,ENSENADA,-115.43,30.07,519,CONTINENTAL
110633,MEXICO,QUERETARO,TOLIMAN,-99.91,20.79,1906,CONTINENTAL
141347,MEXICO,COAHUILA DE ZARAGOZA,CASTAÑOS,-101.4,26.57,1125,CONTINENTAL
126074,MEXICO,COAHUILA DE ZARAGOZA,CUATRO CIENEGAS,-102.13,26.88,1073,CONTINENTAL
99721,MEXICO,PUEBLA,ZAPOTITLAN,-97.6,18.32,1704,CONTINENTAL
125954,MEXICO,NUEVO LEON,GARCIA,-100.75,25.67,1521,CONTINENTAL
109839,MEXICO,ZACATECAS,MAZAPIL,-102.2,24.25,1736,CONTINENTAL
37631,MEXICO,NUEVO LEON,GALEANA,-100.69,25.15,1936,CONTINENTAL
42903,MEXICO,DURANGO,MAPIMI,-104.03,25.76,1531,CONTINENTAL
131293,MEXICO,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,-101.34,26.3,1259,CONTINENTAL
96399,MEXICO,COAHUILA DE ZARAGOZA,OCAMPO,-103,28.17,1962,CONTINENTAL
24396,MEXICO,NUEVO LEON,SANTIAGO,-100.16,25.36,827,CONTINENTAL
120237,MEXICO,BAJA CALIFORNIA SUR,LOS CABOS,-109.68,23.14,96,CONTINENTAL
79121,MEXICO,COAHUILA DE ZARAGOZA,SIERRA MOJADA,-103.7,27.98,2035,CONTINENTAL
116755,MEXICO,PUEBLA,TEHUACAN,-97.44,18.4,1651,CONTINENTAL
83501,MEXICO,TAMAULIPAS,JAUMAVE,-99.44,23.31,1048,CONTINENTAL
