ID,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
89188,Cactaceae,Opuntia,Arbusto,Amarilla
76662,Brassicaceae,Erysimum,Árbol,Amarilla
116450,Euphorbiaceae,Jatropha,Arbusto,Blanca
135902,Sapindaceae,Acer,Árbol,Blanco amarillenta
80560,Amaranthaceae,Atriplex,Arbusto,Verde
93771,Portulacaceae,Portulaca,Árbol,Blanca
82020,Amaranthaceae,Iresine,Arbusto,Blanca
73438,Boraginaceae,Cryptantha,Árbol,Blanca
111564,Euphorbiaceae,Ditaxis,Árbol,Verde
4550,Asparagaceae,Yucca,Árbol,Amarillenta
130896,Rosaceae,Physocarpus,Árbol,Blanca
1275,Amaryllidaceae,Zephyranthes,Árbol,Amarillenta
130811,Rosaceae,Lindleya,Árbol,Blanca
99305,Apocynaceae,Vallesia,Árbol,Blanca
101329,Acanthaceae,Justicia,Árbol,Blanca
81623,Amaranthaceae,Froelichia,Árbol,Blanca
122941,Onagraceae,Oenothera ,Arbusto,Amarilla
7951,Cyperaceae,Cyperus,Árbol,Amarillenta
140445,Solanaceae,Solanum,Árbol,Verde
9974,Iridaceae,Sisyrinchium,Árbol,Amarilla
116179,Euphorbiaceae,Jatropha,Arbusto,Roja
82727,Amaranthaceae,Tidestromia,Árbol,Verde
141182,Ulmaceae,Aphananthe,Árbol,Violeta
126145,Polygalaceae,Polygala,Árbol,Blanca
3932,Asparagaceae,Dasylirion,Árbol,Amarilla
121174,Malvaceae,Sphaeralcea,Árbol,Violeta
132770,Rubiaceae,Stenotis,Arbusto,Ausente
90600,Cactaceae,Opuntia,Arbusto,Amarilla
74969,Boraginaceae,Heliotropium,Árbol,Blanca
87373,Cactaceae,Mammillaria,Arbusto,Magenta
113046,Euphorbiaceae,Euphorbia,Árbol,Roja
126350,Polygonaceae,Chorizanthe,Arbusto,Blanca
76779,Brassicaceae,Lepidium,Árbol,Blanca
7853,Cyperaceae,Cyperus,Árbol,Amarillenta
134424,Anacardiaceae,Rhus,Árbol,Blanca
139706,Solanaceae,Physalis,Arbusto,Rosa
