ID,PC 1,PC 2,PC 3,familia,genero,longitud,latitud,altitudmapa,class,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
2609,0.45897774997914800,-1.7063503291090600,0.6427593243802530,15,21,-102.64,25.2,1286.0,1,Asparagaceae,Agave,Árbol,Amarillenta
136228,-1.8950091970366100,2.916350568111470,0.04105376709975430,90,754,-114.45,29.67,228.0,2,Zygophyllaceae,Viscainoa,Arbusto,Blanca
124851,-0.9354097907387270,1.2615915818187600,-0.016586780149255500,54,538,-109.63,31.23,1284.0,2,Plantaginaceae,Penstemon,Árbol,Azul-purpúrea
111096,-0.23630831522810200,-0.5860600419969140,0.44345940262936900,31,205,-111.58,26.1,1609.0,0,Euphorbiaceae,Croton,Árbol,Blanca
73192,-1.570390713421840,-0.9034551750885270,0.04591796619157690,24,194,-111.06,27.96,75.0,0,Boraginaceae,Cordia,Arbusto,Blanca
85139,1.3956955602186600,-0.6476388488717770,0.2789362781971880,27,257,-100.28,23.08,1719.0,1,Cactaceae,Echinocereus,Arbusto,Magenta
1285,1.0853787286672600,0.2891319704218740,-2.0792487929728100,6,772,-100.16,25.05,1322.0,1,Amaryllidaceae,Zephyranthes,Árbol,Amarillenta
136071,2.30679294266899,0.5986541427212370,2.2274394237805800,82,145,-97.42,18.55,1864.0,1,Simaroubaceae,Castela,Árbol,Magenta
1558,-1.7643683162474100,-1.6711701134223700,0.3850832720674080,15,21,-112.58,28.72,246.0,0,Asparagaceae,Agave,Árbol,Amarillenta
77616,-1.2623697665575200,0.4750720226184200,-1.474237127150010,25,652,-112.5,26.36,90.0,0,Brassicaceae,Sibara,Árbol,Lila
80333,1.1745045302657600,-1.8539254604783400,0.262958463303072,5,76,-100.39,24.09,1695.0,1,Amaranthaceae,Atriplex,Arbusto,Verde
109149,0.41049101242992600,1.5391173700193700,1.0666017019448400,80,432,-100.38,25.54,887.0,2,Scrophulariaceae,Leucophyllum,Árbol,Lila
85722,0.535331804565597,-0.48404138162599300,0.06944532078663470,27,297,-104.47,25.03,1457.0,1,Cactaceae,Ferocactus,Arbusto,Amarilla
119242,-0.10301625486403900,-0.01983076269065840,0.18572314621187300,39,333,-101.37,26.94,565.0,2,Malvaceae,Guazuma,Árbol,Blanca
86969,2.7238504664223800,-0.1374233028764160,-0.35376415066571900,27,464,-97.53,18.2,2070.0,1,Cactaceae,Mammillaria,Arbusto,Magenta
132173,0.8199013264352940,1.0028139915456400,1.3398601510715700,72,317,-103.23,25.11,1788.0,2,Rubiaceae,Galium,Árbol,Blanca
108297,-2.322116588851110,-0.03337587810445300,0.7344846807594870,47,195,-116.53,31.63,553.0,0,Orobanchaceae,Cordylanthus,Arbusto,Amarilla
97173,-0.9563230135018080,-0.6203257780709930,-1.2820828470624600,9,465,-111.03,25.21,162.0,0,Apocynaceae,Mandevilla,Arbusto,Amarilla
73857,-1.6375575584567400,-0.8564182681461560,0.0014640714740345100,24,207,-114.43,27.43,309.0,0,Boraginaceae,Cryptantha,Árbol,Blanca
9334,-0.956296523143529,0.654009138914059,-1.185628715367160,29,638,-113.08,27.61,858.0,0,Cyperaceae,Schoenoplectus,Árbol,Verdosa
88315,2.3420257968042800,-0.009803821150366460,-0.6258605328314080,27,519,-97.46,18.31,1525.0,1,Cactaceae,Opuntia,Arbusto,Amarilla
85466,2.502539871240130,-0.6864796232149960,0.19995910610002100,27,288,-97.49,18.23,1872.0,1,Cactaceae,Escontria,Árbol,Magenta
75379,-1.8486469713869800,0.3106816398086790,-0.97728224370066,24,534,-116.14,31.71,916.0,0,Boraginaceae,Pectocarya,Árbol,Blanca
131876,2.810429907370840,0.8937308113973630,1.5025872405851300,72,317,-97.27,19.47,2599.0,1,Rubiaceae,Galium,Arbusto,Blanca
96711,-0.007760392498999040,-1.2500630752276200,-0.17976266003388300,9,212,-102.94,27.86,1096.0,0,Apocynaceae,Cynanchum,Arbusto,Blanca
107805,-1.9984291384219900,-0.12620464845341100,0.9933491802997780,47,146,-116.5,32.06,1111.0,0,Orobanchaceae,Castilleja,Árbol,Amarilla
598,2.550929986943690,-1.6451854834632400,0.3966676650109510,13,115,-97.35,18.07,1961.0,1,Arecaceae,Brahea,Árbol,Crema
7341,0.08113823476721240,0.9591859414139830,-1.2984796819457000,28,723,-105.53,28.92,1508.0,2,Commelinaceae,Tradescantia,Árbol,Azul
120854,-0.5397147034866600,0.8179749924251950,-1.071512156978550,39,653,-109.77,23.16,106.0,2,Malvaceae,Sida,Árbol,Amarilla
107460,2.65091613191105,0.43459162150199700,0.07850129548923010,44,477,-97.48,18.42,2037.0,1,Oleaceae,Menodora,Árbol,Amarilla
45138,-1.1320030419450300,-1.713028958982860,0.1910049074782800,12,60,-111.5,26.05,402.0,0,Araliaceae,Aralia,Arbusto,Blanca
116507,-0.44062136230057500,0.026044088566464300,-0.23793598867486500,31,402,-112.44,26.88,1481.0,0,Euphorbiaceae,Jatropha,Arbusto,Blanca
5433,0.5552544402915710,-0.24360870924394600,-0.012792163932044100,26,346,-103.7,27.97,1949.0,1,Bromeliaceae,Hechtia,Árbol,Amarillenta
130148,-1.5755418726442600,2.446151358938160,-0.4767524946888340,69,775,-115.43,31.41,1091.0,2,Rhamnaceae,Ziziphus,Árbol,Blanca
126112,0.02029966454564770,1.3599763953924100,-0.04733944961426960,59,578,-102.07,26.95,725.0,2,Polygalaceae,Polygala,Árbol,Blanca
106789,-1.7570734118648900,1.0594779083785600,-1.3219936561095500,36,703,-112.38,29.53,31.0,2,Lamiaceae,Teucrium,Árbol,Blanca
89231,-0.3357368169032750,0.23078532420598800,-0.7628189967919990,27,519,-101.41,29.04,539.0,0,Cactaceae,Opuntia,Arbusto,Amarilla
129716,1.706272883934340,1.0897604932115300,0.9825421982514290,69,407,-100.59,21.71,1910.0,1,Rhamnaceae,Karwinskia,Árbol,Blanca
138718,-1.6033684301586200,1.9651709631147900,0.7140721381159080,84,510,-113.43,28.48,387.0,2,Solanaceae,Nicotiana,Árbol,Rosa
134297,0.5708936020125220,-0.04644171413141990,-1.4444507212875500,7,608,-103.09,28.27,1753.0,1,Anacardiaceae,Rhus,Arbusto,Blanca
128000,0.41891849557426900,-1.3763296493407400,0.5007801702344370,21,92,-98.85,24.72,607.0,1,Berberidaceae,Berberis,Arbusto,Amarilla
4000,-1.008106482121090,-0.8550808629686160,-0.21478679806906900,15,255,-108.94,30.45,1020.0,0,Asparagaceae,Echeandia,Árbol,Amarilla
119234,-1.5354948683835600,-0.024468274137745000,0.03362477046319290,39,327,-111.21,28.11,126.0,0,Malvaceae,Gossypium,Árbol,Blanca
98077,0.6484907887508380,-0.4936776546030480,-0.9979455427505200,9,471,-101.25,26.33,1311.0,1,Apocynaceae,Matelea,Arbusto,Verde
90126,1.9657537976800800,0.10349270316215200,-0.5730087751012030,27,519,-99.9,21.1,1894.0,1,Cactaceae,Opuntia,Arbusto,Amarilla
109000,0.5376245300189830,1.6394672358065600,1.1741578789826300,80,432,-102.2,27.0,1597.0,2,Scrophulariaceae,Leucophyllum,Arbusto,Lila
4369,-1.025934983510860,-0.01265172416655200,-1.02281097962823,15,511,-115.23,30.58,1693.0,0,Asparagaceae,Nolina,Árbol,Amarilla
114830,-0.747634959841073,-0.48031285943301500,-0.06752000675641550,31,293,-110.1,24.2,273.0,0,Euphorbiaceae,Euphorbia,Árbol,Blanca
107974,1.1110047203664600,-0.31416092950762500,1.228915697360720,47,146,-101.39,24.36,1843.0,1,Orobanchaceae,Castilleja,Árbol,Amarilla
133653,2.9488625176538500,-0.44321520171149900,-1.2130009628748000,7,563,-97.61,18.17,2281.0,1,Anacardiaceae,Pistacia,Árbol,Blanca
75826,-0.08638393911630050,0.8024103118653040,-1.4203853529363700,24,716,-105.61,29.06,1312.0,2,Boraginaceae,Tiquilia,Árbol,Rosa
112306,0.49891049110836400,-0.40170782087940500,0.16285348042424800,31,293,-100.34,25.5,972.0,1,Euphorbiaceae,Euphorbia,Árbol,Blanca
90430,1.3223516765009100,0.15868838548838500,-0.6084101462728370,27,519,-100.54,23.7,1621.0,1,Cactaceae,Opuntia,Arbusto,Anaranjadas
3883,1.2369212230643000,-1.1102617413402600,0.04474378699572420,15,223,-100.08,23.83,1621.0,1,Asparagaceae,Dasylirion,Árbol,Blanco amarillenta
134683,1.6813980637337400,-0.18972021108370100,-1.42748167411698,7,608,-99.68,23.31,1826.0,1,Anacardiaceae,Rhus,Arbusto,Blanca
81094,-1.2115215770600000,-1.7016582588436400,-0.3628376217473990,5,150,-111.06,25.49,52.0,0,Amaranthaceae,Celosia,Arbusto,Blanca
3443,2.7469916049027000,-1.6162167928515900,0.6085065451274250,15,89,-97.64,18.51,2378.0,1,Asparagaceae,Beaucarnea,Árbol,Amarilla
77637,-0.13062307259052900,0.6413578919749300,-1.2098843329986400,25,657,-105.15,28.93,1202.0,2,Brassicaceae,Sisymbrium,Árbol,Amarilla
75206,0.9767946463731390,-0.11816750396893700,-0.408239005443607,24,438,-102.21,25.41,1754.0,1,Boraginaceae,Lithospermum,Árbol,Amarilla
83603,-1.5366177195332600,-0.6317343782595330,0.19211333136872400,27,211,-112.37,30.37,779.0,0,Cactaceae,Cylindropuntia,Arbusto,Amarilla
101128,-1.0152547228983100,-0.9483523952876600,-1.0554571041425900,1,378,-113.58,28.75,1169.0,0,Acanthaceae,Holographis,Árbol,Blanca
98807,0.20559741541250200,0.0005894117040589330,-1.5898376946363800,9,631,-103.42,27.18,1063.0,0,Apocynaceae,Sarcostemma,Arbusto,Morada
97254,0.5377179346191530,-0.5216515455739120,-1.0009502204085100,9,465,-101.37,26.34,1180.0,1,Apocynaceae,Mandevilla,Arbusto,Amarilla
85894,1.3862912429512900,-0.48887202657239700,0.17601954060280700,27,297,-101.11,23.76,1929.0,1,Cactaceae,Ferocactus,Arbusto,Roja
104018,1.1772248406414200,-0.014101670816788400,0.2729836120772510,36,347,-101.09,25.24,1929.0,1,Lamiaceae,Hedeoma,Árbol,Violeta
