ID,division,clase,orden,familia,genero,tipo,color,colector,numerocatalogo,numerocolecta,siglascoleccion
86263,Magnoliophyta,Magnoliopsida,Caryophyllales,27,427,Arbusto,7,OTéllez,NO APLICA,NO APLICA,NO APLICA
136481,Magnoliophyta,Magnoliopsida,Solanales,58,6,Sufrútice,7,R. Moran,96773,22779,SD
131435,Magnoliophyta,Magnoliopsida,Rosales,79,371,Arbusto,12,George B. Hinton; et al.,NO DISPONIBLE,17340,ENCB
96948,Magnoliophyta,Magnoliopsida,Gentianales,9,314,Sufrútice,7,E. Guevara,NO APLICA,7,QMEX
121686,Magnoliophyta,Magnoliopsida,Malvales,39,742,Hierba ,17,E. Ventura V.; E. López,88405,6309,IEB
123250,Magnoliophyta,Magnoliopsida,Papaverales,49,62,Arbusto,1,F. Chiang C.; T. L. Wendt; M. C. Johnston,147447,9872,LL
135564,Magnoliophyta,Magnoliopsida,Sapindales,73,598,Árbol,12,M. F. Robert; J. Passini,NO DISPONIBLE,4765,ENCB
132061,Magnoliophyta,Magnoliopsida,Rubiales,72,317,Arbusto,8,A.L. Reina G.; T.R. Van Devender,13852,2008-48,USON
80726,Magnoliophyta,Magnoliopsida,Caryophyllales,5,76,Hierba ,18,José Luis León,126779,2855,SD
116672,Magnoliophyta,Magnoliopsida,Malpighiales,31,569,Árbol,4,J.R. Hastings; R.M. Turner,172040,69-41,ARIZ
93338,Magnoliophyta,Magnoliopsida,Caryophyllales,42,562,Árbol,1,J.J. Sánchez; D.Z. Ávila J.; E. Salguero; R. Montaño,17271,2011-219,USON
104642,Magnoliophyta,Magnoliopsida,Lamiales,36,492,Hierba ,13,Reid Moran,77110,18265,SD
89786,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,Salvador Arias Montes,SAM00844,SAM00060,MEXU
108792,Magnoliophyta,Magnoliopsida,Lamiales,80,120,Arbusto,13,I. M. Johnston; C. H. Muller,265954,167,LL
131439,Magnoliophyta,Magnoliopsida,Rosales,79,371,Arbusto,12,JCH; GSH,NO DISPONIBLE,22438,GBH
136290,Magnoliophyta,Magnoliopsida,Sapindales,90,754,Arbusto,7,Roxana S. Ferris,214057,8687,DS
117895,Magnoliophyta,Magnoliopsida,Malpighiales,74,623,Árbol,12,S. Moreno G.,NO DISPONIBLE,282,ENCB
93171,Magnoliophyta,Magnoliopsida,Caryophyllales,42,486,Arbusto,1,NO DISPONIBLE,2072592,NO DISPONIBLE,MO
139815,Magnoliophyta,Magnoliopsida,Solanales,84,553,Arbusto,17,S. González E.; J. Rzedowski,227473,1601,TEX
107566,Magnoliophyta,Magnoliopsida,Lamiales,44,477,Hierba ,1,J. S. Henrickson; S. Sundberg,265432,6825-A,TEX
123263,Magnoliophyta,Magnoliopsida,Papaverales,49,101,Arbusto,1,NO DISPONIBLE,1644491,NO DISPONIBLE,MO
137791,Magnoliophyta,Magnoliopsida,Solanales,84,224,Hierba ,16,LUIS HERNANDEZ,NO DISPONIBLE,3215,UAT
