ID,PC 1,PC 2,PC 3,familia,genero,longitud,latitud,altitudmapa,class,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
97976,-0.5875558555020608,-0.6381458305008945,-1.2864100732611996,9,471,-109.96,23.81,241.0,0,Apocynaceae,Matelea,Arbusto,Morada
24690,0.09431421090123067,0.3908769970202443,0.9750855178850698,57,270,-103.7,26.67,1164.0,2,Poaceae,Enneapogon,Árbol,Amarilla
42327,1.4031162548310323,1.838612516287344,-0.4018003582115602,57,736,-101.76,25.26,2144.0,1,Poaceae,Triticum,Árbol,Hialino
4521,0.6599059300308949,0.582021422571531,-1.8373228239350665,15,767,-101.37,26.34,1180.0,1,Asparagaceae,Yucca,Árbol,Amarillenta
59689,-0.9235611483296372,-0.47947007281701204,-0.8051129032316713,17,409,-111.63,26.27,552.0,0,Asteraceae,Koanophyllon,Árbol,Blanca
91220,2.5451624687813954,0.23437756815924385,-0.8260998683658262,27,592,-97.43,18.41,1777.0,1,Cactaceae,Pseudomitrocereus,Arbusto,Blanca
68401,-0.8362733124830879,0.6234241858616666,-1.6327939138412622,17,708,-109.6,31.24,1236.0,0,Asteraceae,Thymophylla,Arbusto,Amarilla
13599,-0.4386364260673907,-0.16425261222643706,1.6660778951533808,57,64,-105.23,28.9,1208.0,2,Poaceae,Aristida,Árbol,Amarilla
101956,1.3319065117213646,-1.1235964520516697,-1.0797813757037138,1,406,-99.51,21.02,966.0,1,Acanthaceae,Justicia,Árbol,Blanca
44694,2.337785413043056,-0.9017979857080792,-0.6224646574630807,8,386,-99.06,20.13,2137.0,1,Apiaceae,Hydrocotyle,Árbol,Blanca
95302,1.8597581049747052,-1.8216049346919903,0.4152880184223321,9,71,-100.43,20.71,1968.0,1,Apocynaceae,Asclepias,Arbusto,Blanca
51492,-1.0180695653837157,-1.3921602097120682,0.1479510563792778,17,117,-111.33,25.69,440.0,0,Asteraceae,Brickellia,Árbol,Blanca
35777,-0.2603780613543002,1.1676805220850488,0.04093438920421953,57,529,-101.04,28.26,495.0,2,Poaceae,Pappophorum,Árbol,Rosa
45529,0.2670780756213442,-1.6936941314899518,0.6836809814562484,17,12,-100.54,25.69,856.0,0,Asteraceae,Acourtia,Arbusto,Blanca
43512,2.901829414084633,1.7880374245813684,-0.46461767778247626,57,771,-97.45,19.34,2417.0,1,Poaceae,Zea,Árbol,Hialino
91081,-1.6457578897533836,0.25943327658158655,-1.002717611872014,27,535,-112.27,28.93,129.0,0,Cactaceae,Peniocereus,Arbusto,Blanca
63847,-0.06833419399743842,0.020430889369154857,-1.0548330901752732,17,541,-102.75,28.87,1013.0,0,Asteraceae,Perityle,Árbol,Amarilla
118085,0.6344077409701601,2.3056765245138338,-0.24862753334594012,74,764,-98.68,24.59,567.0,2,Salicaceae,Xylosma,Árbol,Lavanda
17358,2.4304425223137596,-0.19955691631064576,1.7302396078291933,57,110,-99.24,19.75,2483.0,1,Poaceae,Bouteloua,Árbol,Amarilla
139171,-1.9867298007550822,2.1183529380691155,0.5999670662235957,84,543,-115.36,30.11,424.0,2,Solanaceae,Petunia,Arbusto,Rosa
95521,2.0013988386509407,-1.8112610107663796,0.4429797519315822,9,71,-99.82,20.76,2093.0,1,Apocynaceae,Asclepias,Arbusto,Blanca
13991,0.2812154974521721,-0.24992516197639578,1.6826801197585508,57,64,-101.34,26.28,1156.0,2,Poaceae,Aristida,Árbol,Verde
68233,1.020830006598354,0.46090488123771983,-1.5246572838394972,17,706,-101.02,25.54,1509.0,1,Asteraceae,Thelesperma,Árbol,Amarilla
56390,0.46693257928001175,-0.7007658591041691,-0.24976423068465342,17,315,-102.86,26.55,1428.0,1,Asteraceae,Gaillardia,Árbol,Amarilla
81114,-1.2915305227574996,-1.6932954634425892,-0.36580736173810524,5,150,-111.32,25.8,39.0,0,Amaranthaceae,Celosia,Arbusto,Blanca
80399,-0.7860976425735074,-1.9881146858474508,-0.11164680551913582,5,76,-110.14,23.26,108.0,0,Amaranthaceae,Atriplex,Árbol,Blanca
129452,1.9239974207431785,0.42019703280553444,1.730612762210526,69,191,-100.4,20.71,2111.0,1,Rhamnaceae,Condalia,Árbol,Blanca
79953,-1.3423785483063195,-1.8332834339695452,-0.04544540780400083,5,76,-112.56,27.41,503.0,0,Amaranthaceae,Atriplex,Árbol,Blanca
21282,-1.7888236117482736,0.1212934601170818,1.0811914491083536,57,173,-112.4,29.37,321.0,2,Poaceae,Chondrosum,Árbol,Amarilla
99486,2.4532779903961335,0.6751135809246792,-0.011019874781874788,48,523,-97.44,18.41,1739.0,1,Oxalidaceae,Oxalis,Árbol,Amarillenta
101618,2.310918220696498,-1.1631010957020127,-0.9866160306926559,1,406,-97.51,18.32,1502.0,1,Acanthaceae,Justicia,Árbol,Blanca
127993,0.5364004731566899,-1.3678889217861954,0.5238739229445307,21,92,-98.84,24.63,749.0,1,Berberidaceae,Berberis,Arbusto,Amarilla
55271,1.3213841523624708,-0.8785369792481573,-0.07141758668505603,17,278,-99.94,23.77,1678.0,1,Asteraceae,Erigeron,Árbol,Blanca
9863,1.5012676015146194,2.2374721484520617,0.44555412077079803,83,660,-100.06,21.3,1354.0,1,Smilacaceae,Smilax,Árbol,Blanca
70844,1.4217396396834663,0.6352046308923998,-1.602545415887802,17,753,-101.0,25.34,1989.0,1,Asteraceae,Viguiera,Árbol,Amarilla
